Market,Customer,Category,Division,PromotionType,InStoreLocation,PromotionMonth,PromoDurationWeeks,ListPrice,PlannedPromoVolume,PlannedBaseVolume,PlannedIncrementalVolume,PlannedVolumeUplift,PlannedPromoRevenue,PlannedOnInvoiceSpend,PlannedOffInvoiceSpend,PlannedTradeSpend,PlannedCostPerUnit,PlannedNetRevenue,PlannedTurnover,PlannedGrossProfit,PlannedCOGS,PlannedEventSpend,PlannedBaseRevenue,PlannedBaseOnInvoiceSpend,PlannedBaseOffInvoiceSpend,PlannedBaseTurnover,PlannedBaseGrossProfit,PlannedBaseCOGS,PlannedBaseNetRevenue,PlannedROI,IsPipeFill,IsDefensivePromo,InstoreStartDate_Week,InstoreEndDate_Week,InstoreStartDate_Month,InstoreEndDate_Month,ActualSalesVolume,ForecastAccuracyRatio
Southeast Asia,EastMart Retail,HEALTHY SNACKING,Food & Beverage,Other,Mid Aisle Display,March,2,24.42,4364.0,1477.0,2887.0,2.954,106578.34,10501.3,7000.87,17502.17,4.0107,96077.04,89076.17,32091.15,56985.03,11.83,36077.76,721.56,360.78,34995.43,15705.47,19289.96,35356.21,0.8744,0,0,13,15,3,3,6943.0,1.591
Western Europe,FineFood Retail,SCRATCH COOKING AID,Personal Care & Home,Multi-Buy Deal,Shelf,September,3,17.42,2672.0,1435.0,1237.0,1.862,46538.55,1498.47,998.98,2497.45,0.9347,45040.08,44041.1,19266.33,24774.77,124.73,24988.73,499.77,249.89,24239.07,10936.33,13302.74,24488.96,3.0352,0,0,37,40,9,9,2023.0,0.757
Western Europe,FineFood Retail,FABRIC CLEANING,Personal Care & Home,Everyday Low Price,Checkout Display,October,4,7.42,2350.0,1072.0,1278.0,2.192,17432.64,2062.15,1374.77,3436.92,1.4624,15370.49,13995.72,4011.32,9984.4,409.1,7954.01,159.08,79.54,7715.39,3159.8,4555.59,7794.93,0.1783,0,0,42,46,10,10,3122.0,1.328
Southeast Asia,PrimeRetail Group,DRESSING,Personal Care & Home,Temporary Price Reduction,Checkout Display,January,3,9.55,76273.0,23541.0,52733.0,3.24,728271.9,28924.5,19283.0,48207.5,0.632,699347.4,680064.4,342197.82,337866.58,4258.67,224769.83,4495.4,2247.7,218026.73,113749.45,104277.28,220274.43,4.599,0,0,5,8,1,1,69942.0,0.917
Southeast Asia,PrimeRetail Group,HAIR CARE,Personal Care & Home,Discounted Retail Price,None Specified,June,1,21.41,9377.0,3158.0,6219.0,2.969,200781.68,13997.43,9331.62,23329.05,2.4878,186784.24,177452.62,86379.75,91072.88,260.74,67614.9,1352.3,676.15,65586.46,34916.91,30669.55,66262.6,2.119,0,0,27,28,6,6,28358.0,3.024
Southeast Asia,HomeSave Supermarkets,SKIN CLEANSING,Food & Beverage,Multi-Buy Free Gift,In-Store Event,March,3,2.17,23886.0,7678.0,16208.0,3.111,51735.32,5409.84,3606.56,9016.41,0.3775,46325.47,42718.91,11281.68,31437.23,350.33,16629.49,332.59,166.29,16130.61,6025.61,10105.0,16296.9,0.5276,0,0,14,17,3,3,82732.0,3.464
Southeast Asia,HomeSave Supermarkets,SKIN CARE,Personal Care & Home,Everyday Low Price,Mid Aisle Display,December,3,16.54,35493.0,8952.0,26541.0,3.965,587011.57,63058.42,42038.95,105097.37,2.9611,523953.15,481914.2,106721.68,375192.51,14658.85,148055.54,2961.11,1480.56,143613.87,48983.15,94630.72,145094.42,0.5071,0,0,51,54,12,12,134606.0,3.793
Southeast Asia,CityGrocer Ltd,HEALTHY SNACKING,Food & Beverage,Special Pack,Pallet Display,March,3,20.89,5836.0,3510.0,2325.0,1.663,121932.03,5040.02,3360.01,8400.03,1.4395,116892.01,113532.0,36639.28,76892.72,1088.93,73342.49,1466.85,733.42,71142.21,24891.01,46251.2,71875.64,1.1367,0,0,15,18,3,3,5845.0,1.002
Southeast Asia,EastMart Retail,FABRIC CLEANING,Personal Care & Home,Temporary Price Reduction,End of Aisle Display,June,2,15.03,8218.0,2721.0,5497.0,3.02,123527.29,5524.9,3683.27,9208.17,1.1205,118002.39,114319.12,55645.64,58673.48,36.85,40904.45,818.09,409.04,39677.32,20248.36,19428.96,40086.36,3.7109,0,0,26,28,6,6,10133.0,1.233
Southeast Asia,HomeSave Supermarkets,ORAL CARE,Personal Care & Home,Other,Shelf,November,1,8.96,11852.0,5946.0,5906.0,1.993,106144.73,5877.62,3918.41,9796.04,0.8265,100267.11,96348.7,37313.99,59034.71,75.95,53251.16,1065.02,532.51,51653.62,22036.83,29616.79,52186.14,1.3964,0,0,45,46,11,11,42676.0,3.601
Southeast Asia,Metro Grocery Group,DEODORANT & FRAGRANCE,Personal Care & Home,Other,Shelf,July,3,4.16,83380.0,27375.0,56005.0,3.046,346682.4,15278.23,10185.49,25463.72,0.3054,331404.17,321218.68,134909.22,186309.46,1515.94,113820.64,2276.41,1138.21,110406.02,49238.04,61167.98,111544.23,3.2303,0,0,31,34,7,7,147893.0,1.774
Western Europe,GreenLeaf Supermarkets,SKIN CLEANSING,Personal Care & Home,Multi-Buy Deal,In-Store Event,August,2,21.53,1839.0,1046.0,793.0,1.758,39604.09,2107.51,1405.01,3512.52,1.9099,37496.58,36091.57,14376.53,21715.04,513.98,22522.88,450.46,225.23,21847.2,9497.84,12349.36,22072.42,1.1966,0,0,33,35,8,8,1224.0,0.665
Southeast Asia,CityGrocer Ltd,HOME & HYGIENE,Food & Beverage,Discounted Retail Price,In-Store Event,December,3,12.07,33127.0,11138.0,21989.0,2.974,399942.41,42895.27,28596.84,71492.11,2.1581,357047.15,328450.3,71940.39,256509.92,5351.57,134465.04,2689.3,1344.65,130431.09,44189.63,86241.46,131775.74,0.3317,0,0,50,53,12,12,108278.0,3.269
Western Europe,FineFood Retail,HEALTHY SNACKING,Personal Care & Home,Shopper Activation,Pallet Display,November,2,19.65,957.0,384.0,573.0,2.494,18803.75,1852.45,1234.96,3087.41,3.2266,16951.3,15716.34,3662.22,12054.12,411.12,7540.53,150.81,75.41,7314.31,2480.47,4833.85,7389.72,0.3095,0,0,47,49,11,11,706.0,0.738
Western Europe,ValueMart Stores,FABRIC CLEANING,Personal Care & Home,Special Pack,Mid Aisle Display,March,2,15.31,1456.0,1973.0,-517.0,0.738,22299.06,797.5,531.67,1329.17,0.9126,21501.56,20969.89,7089.02,13880.87,191.7,30216.3,604.33,302.16,29309.81,10500.56,18809.25,29611.98,-3.2487,0,1,14,16,3,3,809.0,0.555
Southeast Asia,HomeSave Supermarkets,BEVERAGE,Food & Beverage,Temporary Price Reduction,Shelf,January,2,24.65,20788.0,9654.0,11134.0,2.153,512349.27,29652.49,19768.33,49420.81,2.3774,482696.78,462928.45,207577.61,255350.84,2064.3,237934.46,4758.69,2379.34,230796.43,112211.76,118584.66,233175.77,1.7852,0,0,7,9,1,1,19449.0,0.936
Western Europe,BudgetHome Stores,HAIR CARE,Personal Care & Home,Temporary Price Reduction,Free Standing Unit,December,3,18.96,6296.0,8414.0,-2118.0,0.748,119364.16,10946.2,7297.47,18243.67,2.8976,108417.96,101120.49,29289.79,71830.7,1457.72,159512.23,3190.24,1595.12,154726.86,58735.95,95990.91,156321.99,-1.8764,0,1,50,53,12,12,3495.0,0.555
Southeast Asia,EastMart Retail,HOME & HYGIENE,Personal Care & Home,Other,Checkout Display,January,2,22.02,5540.0,2874.0,2666.0,1.928,121992.35,11399.21,7599.47,18998.68,3.4296,110593.14,102993.66,46018.35,56975.32,1852.63,63282.04,1265.64,632.82,61383.58,31828.33,29555.25,62016.4,0.647,0,0,5,7,1,1,4714.0,0.851
Southeast Asia,EastMart Retail,FABRIC ENHANCER,Personal Care & Home,Temporary Price Reduction,Free Standing Unit,June,2,21.89,21083.0,5472.0,15611.0,3.853,461423.08,25784.09,17189.4,42973.49,2.0383,435638.99,418449.59,180070.39,238379.2,2749.52,119761.84,2395.24,1197.62,116168.98,54297.93,61871.05,117366.6,2.8431,0,0,25,27,6,6,44044.0,2.089
Southeast Asia,Metro Grocery Group,HAIR CARE,Personal Care & Home,Temporary Price Reduction,Mid Aisle Display,December,3,9.96,29784.0,16631.0,13153.0,1.791,296766.11,34762.8,23175.2,57938.0,1.9452,262003.31,238828.11,50504.49,188323.62,7683.23,165710.48,3314.21,1657.1,160739.16,55581.61,105157.55,162396.27,-0.1734,0,0,51,54,12,12,84343.0,2.832
Southeast Asia,PrimeRetail Group,HOME & HYGIENE,Personal Care & Home,Multi-Unit Deal,Free Standing Unit,July,2,20.16,3908.0,1435.0,2473.0,2.723,78776.59,7052.27,4701.51,11753.79,3.0073,71724.31,67022.8,29875.03,37147.76,859.64,28931.82,578.64,289.32,28063.87,14420.82,13643.05,28353.19,1.241,0,0,29,31,7,7,6347.0,1.624
Western Europe,FineFood Retail,FABRIC CLEANING,Personal Care & Home,Multi-Buy Deal,Online,February,2,5.65,19216.0,30272.0,-11056.0,0.635,108591.78,6046.66,4031.11,10077.77,0.5244,102545.11,98514.0,28887.78,69626.23,1109.73,171068.83,3421.38,1710.69,165936.76,56251.88,109684.89,167647.45,-3.2245,0,1,9,11,2,2,5987.0,0.312
Southeast Asia,EastMart Retail,FABRIC ENHANCER,Food & Beverage,Discounted Retail Price,In-Store Event,June,2,3.75,6670.0,2700.0,3970.0,2.47,25003.93,2808.26,1872.17,4680.43,0.7017,22195.67,20323.5,8616.48,11707.02,455.08,10121.8,202.44,101.22,9818.15,5079.05,4739.1,9919.37,0.6909,0,0,25,27,6,6,24515.0,3.675
Southeast Asia,PrimeRetail Group,DRESSING,Personal Care & Home,Temporary Price Reduction,Pallet Display,October,3,14.24,35319.0,13017.0,22302.0,2.713,502864.16,56679.55,37786.37,94465.92,2.6746,446184.6,408398.24,91602.92,316795.32,6350.39,185339.76,3706.8,1853.4,179779.56,63018.87,116760.69,181632.96,0.2437,0,0,41,44,10,10,84224.0,2.385
Southeast Asia,Metro Grocery Group,FABRIC ENHANCER,Personal Care & Home,Other,End of Aisle Display,May,4,8.41,5375.0,1707.0,3668.0,3.148,45192.1,2233.5,1489.0,3722.5,0.6926,42958.6,41469.6,19699.32,21770.27,174.59,14354.35,287.09,143.54,13923.72,7008.84,6914.89,14067.26,3.2934,0,0,23,27,5,5,5976.0,1.112
Southeast Asia,PrimeRetail Group,ICE CREAM CATEGORY,Food & Beverage,Multi-Buy Free Gift,Checkout Display,November,1,14.26,44041.0,13144.0,30898.0,3.351,627885.83,48766.64,32511.09,81277.74,1.8455,579119.19,546608.09,220387.49,326220.61,6346.01,187384.83,3747.7,1873.85,181763.29,84406.74,97356.54,183637.13,1.6039,0,0,47,48,11,11,80680.0,1.832
Southeast Asia,EastMart Retail,HEALTHY SNACKING,Food & Beverage,Temporary Price Reduction,In-Store Event,June,2,22.12,4086.0,1318.0,2768.0,3.101,90389.34,6113.2,4075.47,10188.66,2.4935,84276.14,80200.68,23056.25,57144.42,1517.85,29151.95,583.04,291.52,28277.39,9847.44,18429.96,28568.91,1.2106,0,0,26,28,6,6,12450.0,3.047
Western Europe,HealthFirst Pharmacy,ORAL CARE,Food & Beverage,Shopper Activation,Shelf,February,3,21.1,11068.0,6510.0,4558.0,1.7,233544.19,23816.52,15877.68,39694.2,3.5865,209727.67,193849.99,72619.01,121230.97,1545.76,137367.36,2747.35,1373.67,133246.34,61940.01,71306.33,134620.01,0.1652,0,0,11,14,2,2,7309.0,0.66
Southeast Asia,PrimeRetail Group,FABRIC ENHANCER,Food & Beverage,Multi-Buy Free Gift,Mid Aisle Display,June,2,15.75,24757.0,9368.0,15388.0,2.643,389992.84,32908.9,21939.27,54848.17,2.2155,357083.93,335144.67,95130.74,240013.93,3496.59,147581.46,2951.63,1475.81,143154.01,52327.72,90826.3,144629.83,0.6997,0,0,25,27,6,6,65937.0,2.663
Southeast Asia,Metro Grocery Group,ICE CREAM CATEGORY,Personal Care & Home,Discounted Retail Price,In-Store Event,June,1,11.2,3284.0,1648.0,1636.0,1.992,36784.82,1857.64,1238.42,3096.06,0.9427,34927.18,33688.76,12840.17,20848.59,172.51,18462.71,369.25,184.63,17908.83,7444.69,10464.14,18093.46,1.5638,0,0,25,26,6,6,9392.0,2.86
Western Europe,NorthernMart Supermarkets,HOME & HYGIENE,Personal Care & Home,Multi-Buy Deal,End of Aisle Display,June,2,14.63,7445.0,4901.0,2544.0,1.519,108943.7,10200.7,6800.47,17001.17,2.2835,98743.0,91942.53,39050.76,52891.77,643.21,71712.49,1434.25,717.12,69561.11,34744.96,34816.15,70278.24,0.1267,0,0,26,28,6,6,3894.0,0.523
Western Europe,GreenLeaf Supermarkets,HEALTHY SNACKING,Personal Care & Home,Temporary Price Reduction,Online,April,1,14.04,3245.0,1743.0,1502.0,1.862,45570.91,1957.05,1304.7,3261.75,1.0051,43613.86,42309.16,21718.02,20591.14,395.4,24476.11,489.52,244.76,23741.82,12682.34,11059.49,23986.58,2.5451,0,0,19,20,4,4,1781.0,0.549
Southeast Asia,Metro Grocery Group,FABRIC ENHANCER,Food & Beverage,Special Pack,Checkout Display,May,1,16.97,5887.0,2291.0,3596.0,2.57,99895.89,5368.66,3579.11,8947.77,1.52,94527.23,90948.13,45753.83,45194.3,696.5,38869.26,777.39,388.69,37703.19,20118.19,17585.0,38091.88,2.7347,0,0,21,22,5,5,8964.0,1.523
Southeast Asia,HomeSave Supermarkets,ORAL CARE,Personal Care & Home,Multi-Buy Free Gift,Checkout Display,June,2,19.08,69114.0,22149.0,46965.0,3.12,1318895.4,147106.47,98070.98,245177.44,3.5474,1171788.93,1073717.96,252429.52,821288.44,24789.59,422673.19,8453.46,4226.73,409992.99,146790.46,263202.53,414219.72,0.3791,0,0,27,29,6,6,184952.0,2.676
Southeast Asia,PrimeRetail Group,DRESSING,Personal Care & Home,Multi-Unit Deal,Shelf,October,3,17.54,29723.0,8351.0,21372.0,3.559,521466.24,48531.97,32354.64,80886.61,2.7213,472934.27,440579.63,130133.0,310446.63,11436.59,146514.34,2930.29,1465.14,142118.91,54893.93,87224.98,143584.05,0.8758,0,0,43,46,10,10,52556.0,1.768
Southeast Asia,HomeSave Supermarkets,ORAL CARE,Personal Care & Home,Multi-Buy Free Gift,In-Store Event,October,2,11.51,315.0,175.0,140.0,1.802,3629.17,202.8,135.2,338.0,1.0723,3426.37,3291.17,1541.68,1749.49,14.31,2014.02,40.28,20.14,1953.6,982.71,970.89,1973.74,1.475,0,0,43,45,10,10,380.0,1.205
Western Europe,ValueMart Stores,DRESSING,Personal Care & Home,Temporary Price Reduction,Pallet Display,October,2,6.13,11862.0,6097.0,5765.0,1.945,72690.49,7265.89,4843.93,12109.82,1.0209,65424.6,60580.67,15772.87,44807.8,656.23,37364.7,747.29,373.65,36243.76,13211.45,23032.31,36617.41,0.119,0,0,43,45,10,10,8951.0,0.755
Southeast Asia,Metro Grocery Group,FABRIC ENHANCER,Personal Care & Home,Everyday Low Price,Shelf,October,2,2.12,15680.0,9360.0,6320.0,1.675,33210.42,1776.51,1184.34,2960.85,0.1888,31433.91,30249.57,11730.99,18518.58,403.1,19823.62,396.47,198.24,19228.92,8174.99,11053.92,19427.15,1.0001,0,0,43,45,10,10,15028.0,0.958
Southeast Asia,HomeSave Supermarkets,HOME & HYGIENE,Food & Beverage,Everyday Low Price,Shelf,April,3,8.76,6073.0,1666.0,4407.0,3.645,53190.26,4749.73,3166.49,7916.22,1.3035,48440.53,45274.05,15312.57,29961.48,560.18,14593.77,291.88,145.94,14155.96,5935.45,8220.51,14301.9,1.1292,0,0,17,20,4,4,10011.0,1.648
Western Europe,BudgetHome Stores,FABRIC CLEANING,Personal Care & Home,Temporary Price Reduction,Shelf,December,2,2.04,860.0,850.0,10.0,1.012,1757.02,131.83,87.89,219.72,0.2556,1625.19,1537.3,576.7,960.6,5.2,1736.75,34.73,17.37,1684.64,735.13,949.52,1702.01,-0.9582,0,0,49,51,12,12,939.0,1.093
Southeast Asia,HomeSave Supermarkets,HOME & HYGIENE,Food & Beverage,Multi-Unit Deal,In-Store Event,November,2,21.38,9118.0,3640.0,5478.0,2.505,194887.86,11920.11,7946.74,19866.85,2.179,182967.75,175021.01,61805.93,113215.08,2113.78,77803.28,1556.07,778.03,75469.18,30271.37,45197.81,76247.21,1.4698,0,0,45,47,11,11,15712.0,1.723
Southeast Asia,CityGrocer Ltd,HOME & HYGIENE,Personal Care & Home,Multi-Unit Deal,Mid Aisle Display,May,4,10.56,5090.0,2003.0,3087.0,2.542,53736.05,4195.83,2797.22,6993.05,1.3739,49540.22,46743.0,13513.37,33229.63,611.99,21141.47,422.83,211.41,20507.22,7433.63,13073.59,20718.64,0.7787,0,0,23,27,5,5,12671.0,2.49
Southeast Asia,CityGrocer Ltd,FABRIC ENHANCER,Personal Care & Home,Multi-Buy Free Gift,Online,May,2,8.53,24281.0,10199.0,14082.0,2.381,206998.1,16639.38,11092.92,27732.3,1.1422,190358.71,179265.79,85770.31,93495.48,343.88,86946.38,1738.93,869.46,84337.98,45066.64,39271.34,85207.45,1.3737,0,0,22,24,5,5,67557.0,2.782
Southeast Asia,PrimeRetail Group,SKIN CLEANSING,Food & Beverage,Temporary Price Reduction,Shelf,February,2,11.86,4608.0,1212.0,3396.0,3.801,54644.31,6530.56,4353.71,10884.27,2.3619,48113.75,43760.05,14579.19,29180.85,992.58,14377.51,287.55,143.78,13946.18,6268.38,7677.8,14089.96,0.7239,0,0,10,12,2,2,9258.0,2.009
Southeast Asia,CityGrocer Ltd,HEALTHY SNACKING,Food & Beverage,Discounted Retail Price,Mid Aisle Display,November,3,17.76,7571.0,2879.0,4692.0,2.63,134448.49,11746.14,7830.76,19576.89,2.5858,122702.35,114871.59,35107.22,79764.37,658.54,51118.97,1022.38,511.19,49585.4,19258.0,30327.4,50096.59,0.7313,0,0,46,49,11,11,19595.0,2.588
Western Europe,ValueMart Stores,HEALTHY SNACKING,Personal Care & Home,Temporary Price Reduction,None Specified,December,4,1.67,5970.0,5509.0,461.0,1.084,9974.66,353.92,235.95,589.87,0.0988,9620.74,9384.79,4040.69,5344.1,35.33,9204.56,184.09,92.05,8928.43,3996.92,4931.51,9020.47,-0.3939,0,0,50,54,12,12,5448.0,0.913
Western Europe,BudgetHome Stores,ORAL CARE,Personal Care & Home,Shopper Activation,Online,August,2,9.46,284.0,439.0,-154.0,0.648,2687.12,85.57,57.05,142.62,0.5019,2601.54,2544.49,1139.91,1404.59,11.37,4147.56,82.95,41.48,4023.14,1855.16,2167.98,4064.61,-5.8874,0,1,34,36,8,8,209.0,0.737
Southeast Asia,HomeSave Supermarkets,ICE CREAM CATEGORY,Personal Care & Home,Discounted Retail Price,End of Aisle Display,October,3,12.85,5798.0,3392.0,2407.0,1.71,74497.23,5681.7,3787.8,9469.5,1.6331,68815.53,65027.73,19149.63,45878.1,630.36,43578.11,871.56,435.78,42270.76,15433.78,26836.98,42706.54,0.2543,0,0,43,46,10,10,14340.0,2.473
Southeast Asia,Metro Grocery Group,BEVERAGE,Personal Care & Home,Temporary Price Reduction,Free Standing Unit,March,2,24.53,2218.0,1226.0,992.0,1.809,54404.52,3559.95,2373.3,5933.24,2.6753,50844.58,48471.28,21514.69,26956.59,152.48,30080.04,601.6,300.8,29177.63,14273.45,14904.19,29478.43,1.0684,0,0,15,17,3,3,5264.0,2.373
Southeast Asia,PrimeRetail Group,DEODORANT & FRAGRANCE,Personal Care & Home,Everyday Low Price,In-Store Event,June,2,23.34,1158.0,316.0,841.0,3.659,27019.35,1548.5,1032.33,2580.83,2.2292,25470.85,24438.52,7611.21,16827.31,302.55,7384.47,147.69,73.84,7162.94,2563.98,4598.95,7236.78,1.8698,0,0,27,29,6,6,1581.0,1.366
Southeast Asia,PrimeRetail Group,DEODORANT & FRAGRANCE,Personal Care & Home,Other,Online,January,2,21.51,3326.0,1069.0,2257.0,3.112,71539.52,6068.53,4045.68,10114.21,3.0411,65471.0,61425.32,17025.41,44399.9,401.43,22986.32,459.73,229.86,22296.73,8030.62,14266.1,22526.59,0.8211,0,0,7,9,1,1,3775.0,1.135
Southeast Asia,CityGrocer Ltd,HEALTHY SNACKING,Food & Beverage,Discounted Retail Price,Free Standing Unit,September,2,4.24,14674.0,8803.0,5871.0,1.667,62164.56,5202.1,3468.07,8670.16,0.5909,56962.46,53494.39,22101.55,31392.84,103.58,37294.06,745.88,372.94,36175.24,17341.89,18833.35,36548.18,0.4199,0,0,37,39,9,9,66255.0,4.515
Southeast Asia,HomeSave Supermarkets,DRESSING,Food & Beverage,Discounted Retail Price,Online,June,2,15.88,32670.0,12380.0,20291.0,2.639,518795.06,33004.07,22002.71,55006.78,1.6837,485791.0,463788.29,157497.16,306291.13,6895.55,196584.7,3931.69,1965.85,190687.16,74625.63,116061.53,192653.0,1.3994,0,0,26,28,6,6,95096.0,2.911
Southeast Asia,CityGrocer Ltd,SKIN CARE,Personal Care & Home,Multi-Buy Free Gift,Pallet Display,July,2,4.04,4250.0,1078.0,3173.0,3.944,17155.52,1953.58,1302.39,3255.97,0.766,15201.93,13899.54,3044.98,10854.56,256.58,4349.47,86.99,43.49,4218.98,1467.01,2751.97,4262.48,0.4446,0,0,29,31,7,7,8831.0,2.078
Southeast Asia,PrimeRetail Group,FABRIC ENHANCER,Personal Care & Home,Discounted Retail Price,None Specified,June,2,12.27,27435.0,7184.0,20251.0,3.819,336619.57,30077.0,20051.33,50128.33,1.8272,306542.57,286491.24,73447.57,213043.67,677.59,88148.95,1762.98,881.49,85504.48,29715.76,55788.72,86385.97,0.8196,0,0,26,28,6,6,43962.0,1.602
Southeast Asia,Metro Grocery Group,HAIR CARE,Food & Beverage,Temporary Price Reduction,Checkout Display,October,1,13.43,5852.0,1589.0,4262.0,3.681,78583.75,8071.88,5381.25,13453.13,2.2991,70511.87,65130.62,23982.82,41147.8,252.4,21345.96,426.92,213.46,20705.58,9528.47,11177.11,20919.04,1.0268,0,0,43,44,10,10,12297.0,2.101
Southeast Asia,PrimeRetail Group,HEALTHY SNACKING,Personal Care & Home,Multi-Buy Free Gift,Free Standing Unit,January,2,16.4,79518.0,24422.0,55097.0,3.256,1304195.31,154701.03,103134.02,257835.05,3.2425,1149494.28,1046360.26,423407.37,622952.89,16620.19,400546.0,8010.92,4005.46,388529.62,197207.59,191322.02,392535.08,0.8307,0,0,6,8,1,1,62906.0,0.791
Southeast Asia,HomeSave Supermarkets,ICE CREAM CATEGORY,Personal Care & Home,Everyday Low Price,Shelf,August,4,2.46,70067.0,24432.0,45635.0,2.868,172256.55,10051.3,6700.87,16752.16,0.2391,162205.25,155504.38,58160.5,97343.88,2388.68,60065.35,1201.31,600.65,58263.39,24319.86,33943.52,58864.04,1.9125,0,0,34,38,8,8,146584.0,2.092
Western Europe,BudgetHome Stores,HOME & HYGIENE,Personal Care & Home,Stock Loading,Shelf,October,3,7.99,4166.0,1970.0,2195.0,2.114,33279.06,3784.93,2523.29,6308.21,1.5143,29494.14,26970.85,9568.3,17402.55,811.55,15740.0,314.8,157.4,15267.8,7036.91,8230.89,15425.2,0.3264,1,0,41,44,10,10,3388.0,0.813
Southeast Asia,EastMart Retail,BEVERAGE,Personal Care & Home,Multi-Unit Deal,In-Store Event,October,3,9.44,25425.0,12641.0,12784.0,2.011,240070.62,17353.77,11569.18,28922.94,1.1376,222716.85,211147.68,87233.16,123914.51,3275.26,119363.24,2387.26,1193.63,115782.35,54171.98,61610.37,116975.98,1.0193,0,0,42,45,10,10,81809.0,3.218
Western Europe,TopChoice Supermarkets,SCRATCH COOKING AID,Food & Beverage,Special Pack,Checkout Display,August,2,13.56,8829.0,4786.0,4043.0,1.845,119733.06,12989.79,8659.86,21649.64,2.452,106743.28,98083.42,37284.48,60798.94,280.09,64904.36,1298.09,649.04,62957.23,29999.61,32957.62,63606.27,0.2466,0,0,35,37,8,8,4198.0,0.476
Southeast Asia,PrimeRetail Group,ORAL CARE,Personal Care & Home,Multi-Buy Free Gift,Checkout Display,March,2,11.67,34339.0,9813.0,24526.0,3.499,400768.06,29807.89,19871.93,49679.81,1.4467,370960.17,351088.25,149453.06,201635.19,5248.82,114531.47,2290.63,1145.31,111095.52,53472.24,57623.29,112240.84,1.8628,0,0,15,17,3,3,62779.0,1.828
Western Europe,TopChoice Supermarkets,BEVERAGE,Personal Care & Home,Temporary Price Reduction,Checkout Display,September,2,22.19,2984.0,2403.0,581.0,1.242,66197.63,7710.79,5140.53,12851.32,4.3071,58486.84,53346.31,11734.46,41611.85,1386.36,53305.67,1066.11,533.06,51706.5,18198.54,33507.96,52239.55,-0.6274,0,0,39,41,9,9,1084.0,0.363
Southeast Asia,HomeSave Supermarkets,SKIN CARE,Personal Care & Home,Discounted Retail Price,Shelf,September,3,12.66,32420.0,9290.0,23130.0,3.49,410575.45,41631.05,27754.03,69385.08,2.1402,368944.4,341190.37,126879.62,214310.74,9770.39,117650.71,2353.01,1176.51,114121.19,52710.28,61410.91,115297.7,1.0181,0,0,38,41,9,9,30697.0,0.947
Southeast Asia,EastMart Retail,HEALTHY SNACKING,Personal Care & Home,Temporary Price Reduction,In-Store Event,August,2,19.94,7310.0,2039.0,5271.0,3.585,145736.91,6803.27,4535.51,11338.78,1.5511,138933.64,134398.13,50327.48,84070.65,1391.8,40648.02,812.96,406.48,39428.58,15980.13,23448.46,39835.06,2.9216,0,0,33,35,8,8,14868.0,2.034
Western Europe,FineFood Retail,HEALTHY SNACKING,Personal Care & Home,Everyday Low Price,Free Standing Unit,September,2,10.16,13139.0,6595.0,6544.0,1.992,133511.36,15540.86,10360.58,25901.44,1.9713,117970.49,107609.92,25621.63,81988.29,3317.77,67017.93,1340.36,670.18,65007.39,23852.2,41155.19,65677.57,-0.0093,0,0,39,41,9,9,11422.0,0.869
Southeast Asia,EastMart Retail,FABRIC CLEANING,Personal Care & Home,Multi-Buy Free Gift,Shelf,January,3,15.37,72985.0,25473.0,47511.0,2.865,1121945.11,128034.89,85356.59,213391.48,2.9238,993910.22,908553.63,401755.49,506798.14,1530.01,391586.82,7831.74,3915.87,379839.21,202954.03,176885.19,383755.08,0.8766,0,0,5,8,1,1,336079.0,4.605
Western Europe,HealthFirst Pharmacy,HEALTHY SNACKING,Food & Beverage,Multi-Buy Deal,End of Aisle Display,June,4,21.05,5057.0,2051.0,3006.0,2.465,106439.77,7693.67,5129.11,12822.79,2.5354,98746.1,93616.98,33912.85,59704.13,1621.78,43174.66,863.49,431.75,41879.42,17661.92,24217.5,42311.17,1.1663,0,0,25,29,6,6,2159.0,0.427
Western Europe,ValueMart Stores,ORAL CARE,Food & Beverage,Shopper Activation,Pallet Display,March,2,22.07,9285.0,16083.0,-6798.0,0.577,204892.27,15592.09,10394.73,25986.82,2.7988,189300.17,178905.44,70133.69,108771.75,631.35,354901.22,7098.02,3549.01,344254.19,155846.75,188407.44,347803.2,-3.708,0,1,15,17,3,3,5510.0,0.593
Southeast Asia,CityGrocer Ltd,HAIR CARE,Personal Care & Home,Discounted Retail Price,Shelf,August,3,7.3,1754.0,667.0,1087.0,2.629,12808.55,1294.81,863.21,2158.02,1.2305,11513.74,10650.53,3261.19,7389.34,172.44,4872.84,97.46,48.73,4726.66,1915.48,2811.18,4775.39,0.5558,0,0,33,36,8,8,5509.0,3.142
Western Europe,NorthernMart Supermarkets,FABRIC ENHANCER,Personal Care & Home,Temporary Price Reduction,Mid Aisle Display,June,2,20.24,819.0,1939.0,-1120.0,0.422,16585.66,727.54,485.03,1212.57,1.4799,15858.12,15373.1,5835.86,9537.24,61.59,39257.85,785.16,392.58,38080.11,15505.7,22574.41,38472.69,-8.946,0,1,27,29,6,6,711.0,0.867
